model,dataset,seed,test_accuracy_pct,validation_accuracy_pct,best_epoch,d,K,vector_lr,head_lr,source
base,resisc45,43,95.26984126984127,95.26984126984127,16.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_resisc45_9fbeb46d9726/attempt1/result.json
base,resisc45,44,95.38095238095238,95.38095238095238,20.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_resisc45_4e5bab15e0c6/attempt1/result.json
base,resisc45,45,95.53968253968253,95.53968253968253,19.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_resisc45_2aad9b319a44/attempt1/result.json
base,resisc45,46,95.3968253968254,95.3968253968254,20.0,66462,5538,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_resisc45_d46386b9b570/attempt1/result.json
large,resisc45,42,95.82539682539682,95.82539682539682,20.0,132923,11077,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_resisc45_9b0b8b244bf8/attempt1/result.json
large,resisc45,43,95.80952380952381,95.80952380952381,17.0,132923,11077,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_resisc45_12322f996925/attempt1/result.json
large,resisc45,44,95.9047619047619,95.9047619047619,20.0,132923,11077,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_resisc45_492022a82037/attempt1/result.json
large,resisc45,45,95.77777777777777,95.77777777777777,20.0,132923,11077,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_resisc45_2ac4626cd458/attempt1/result.json
large,resisc45,46,96.01587301587303,96.01587301587303,20.0,132923,11077,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_resisc45_a3ed6cb5eea6/attempt1/result.json
base,fgvc,42,57.125712571257125,57.125712571257125,20.0,48000,24000,0.05,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_fgvc_df8e32ed28e2/attempt1/result.json
base,fgvc,43,56.735673567356734,56.735673567356734,16.0,48000,24000,0.05,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_fgvc_1f8d25e9a908/attempt1/result.json
base,fgvc,44,56.31563156315632,56.31563156315632,20.0,48000,24000,0.05,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_fgvc_6d78e8e8055b/attempt1/result.json
base,fgvc,45,55.86558655865586,55.86558655865586,20.0,48000,24000,0.05,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_fgvc_59cba5222659/attempt1/result.json
base,fgvc,46,55.08550855085509,55.08550855085509,18.0,48000,24000,0.05,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_base_fgvc_defc1d5b4040/attempt1/result.json
large,fgvc,42,58.895889588958894,58.895889588958894,18.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_fgvc_a02426ddb9cb/attempt1/result.json
large,fgvc,43,60.33603360336034,60.33603360336034,19.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_fgvc_ef7f467b26d0/attempt1/result.json
large,fgvc,44,59.4059405940594,59.4059405940594,20.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_fgvc_aa42f43cb047/attempt1/result.json
large,fgvc,45,59.43594359435943,59.43594359435943,19.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_fgvc_40f4221ecd75/attempt1/result.json
large,fgvc,46,59.43594359435943,59.43594359435943,20.0,128000,16000,0.01,0.01,/home/hzhaobi/Uni-LoRA/ViT/table5/runs/final_large_fgvc_2e3817414f1e/attempt1/result.json
