D,d,n_eff,sparse_budget,source_distribution,source_std,realized_source_std,noise_std,method,risk_mean,risk_std,bias,variance,bias_plus_variance,support
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.1,lora,0.0399714292148579,0.0009751559515234728,0.0002062483327410896,0.03976518088211681,0.0399714292148579,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.1,unilora,31.998291786689006,6.269510066021855e-05,31.99813719250913,0.00015459417987409647,31.998291786689006,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.1,prolosa,29.785532623865105,0.002234535519168268,29.689883211400577,0.0956494124645308,29.78553262386511,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.2,lora,0.15985423578948266,0.003661530279886604,0.0007675225544657822,0.15908671323501686,0.15985423578948263,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.2,unilora,31.99876259196448,0.00021956736558050228,31.99813924333468,0.0006233486297987422,31.99876259196448,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.2,prolosa,29.79588461493519,0.0061207317331426,29.555201822809114,0.24068279212607707,29.79588461493519,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.3,lora,0.36095600348140044,0.007575499311338488,0.0017968110230370054,0.3591591924583635,0.3609560034814005,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.3,unilora,31.999526105704376,0.0004944948916752095,31.998149698309348,0.001376407395028334,31.999526105704376,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.3,prolosa,29.811075356246903,0.010320953090687932,29.44742373094131,0.3636516253055922,29.811075356246903,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.4,lora,0.6407266573314365,0.014751407168473741,0.003265564797246356,0.63746109253419,0.6407266573314364,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.4,unilora,32.00058933589709,0.0008690774372081099,31.99814348109244,0.002445854804645522,32.00058933589709,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.4,prolosa,29.829480798636226,0.014503812403705515,29.352558909847232,0.476921888788991,29.829480798636222,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.5,lora,1.000172105051757,0.02064609732221757,0.005071986707896615,0.9951001183438604,1.000172105051757,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.5,unilora,32.00202897976263,0.0013776759095681982,31.998169000128062,0.0038599796345661266,32.00202897976263,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.5,prolosa,29.85381640183202,0.01865393804157411,29.256172633485665,0.5976437683463555,29.85381640183202,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.6,lora,1.444159566220181,0.03332415702685852,0.00694304383309678,1.4372165223870843,1.4441595662201812,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.6,unilora,32.00358038520116,0.0018827844273091193,31.998169558637045,0.005410826564111974,32.003580385201154,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.6,prolosa,29.88765567418137,0.027756478786866205,29.15349066111627,0.7341650130651015,29.88765567418137,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.7,lora,1.961609316371256,0.045103818255753186,0.009792133036531852,1.9518171833347242,1.961609316371256,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.7,unilora,32.00574915877608,0.002595215356618077,31.998178479592443,0.0075706791836359895,32.00574915877608,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.7,prolosa,29.922463261698304,0.03722923658006872,29.068767338352643,0.853695923345665,29.922463261698308,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.8,lora,2.5572089163727245,0.05604797493785516,0.01278684853395726,2.544422067838768,2.557208916372725,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.8,unilora,32.0083061378682,0.003796390145502436,31.998180922880948,0.01012521498725163,32.0083061378682,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.8,prolosa,29.96741993419625,0.044862282373979226,28.979848361042393,0.987571573153858,29.96741993419625,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.9,lora,3.242451572459921,0.06940604886325874,0.01633010229907618,3.226121470160846,3.242451572459922,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.9,unilora,32.01042070328675,0.00432011237989725,31.99820919063439,0.0122115126523555,32.01042070328675,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,0.9,prolosa,30.014637125846267,0.05150209669119689,28.898323013565843,1.1163141122804197,30.014637125846264,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.0,lora,3.9956740798544796,0.08326884941976029,0.02070038443422853,3.9749736954202515,3.99567407985448,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.0,unilora,32.01339003521584,0.005099295287410623,31.998258568883855,0.015131466331981482,32.013390035215835,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.0,prolosa,30.0674438750152,0.06122418453436984,28.818792323508283,1.248651551506919,30.0674438750152,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.1,lora,4.849596098555804,0.10996887100900997,0.02493334216224255,4.824662756393562,4.849596098555804,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.1,unilora,32.016859253708326,0.006885638275959432,31.998253756074014,0.018605497634312438,32.016859253708326,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.1,prolosa,30.131877417923207,0.0745225388124356,28.74156172816027,1.3903156897629412,30.131877417923214,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.2,lora,5.752427176407261,0.12551966844970805,0.029406687384112416,5.723020489023148,5.75242717640726,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.2,unilora,32.02119436479876,0.00805158146136064,31.998253140918795,0.022941223879958304,32.02119436479875,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.2,prolosa,30.205258102835863,0.07693702659450519,28.663862228723037,1.5413958741128284,30.205258102835867,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.3,lora,6.763445815230561,0.14423770369658512,0.03245974955522145,6.73098606567534,6.763445815230562,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.3,unilora,32.02560282329967,0.00933968686604886,31.99824758305659,0.027355240243079525,32.02560282329967,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.3,prolosa,30.280299204310637,0.08697030337602171,28.59801732340887,1.6822818809017661,30.280299204310637,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.4,lora,7.821923522008905,0.18087374516159926,0.039642904884347865,7.782280617124558,7.821923522008905,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.4,unilora,32.02855744423745,0.011076976777446486,31.998394108841516,0.03016333539593371,32.02855744423745,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.4,prolosa,30.344968376967326,0.09806504357712112,28.542439543415696,1.802528833551633,30.34496837696733,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.5,lora,9.02310801059891,0.18790755406638318,0.04520628267862255,8.977901727920289,9.02310801059891,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.5,unilora,32.03388285676155,0.012530709298142595,31.99829807583422,0.03558478092733119,32.03388285676155,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.5,prolosa,30.449034909816277,0.11063538038741984,28.475567625852754,1.9734672839635212,30.449034909816277,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.6,lora,10.227691393416087,0.20981231847143741,0.04998131995296943,10.177710073463118,10.227691393416087,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.6,unilora,32.036726910379485,0.01304085082815938,31.998372851353885,0.038354059025600774,32.036726910379485,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.6,prolosa,30.53783411074527,0.11386614118558608,28.4214071292189,2.116426981526375,30.537834110745273,noisy_residual
4096,16,512,32,gaussian,0.125,0.1252181761303955,1.7,lora,11.567067047356423,0.26350492771686274,0.05760618294972658,11.509460864406694,11.56706704735642,noisy_residual
