noise_std,method,risk_mean,risk_std,bias,variance
0.1,lora,0.04004671100899946,0.0007839656614128037,0.00019890460489141543,0.03984780640410805
0.1,unilora,5.403330115799767,5.5409820156978164e-05,5.4031740453976695,0.0001560704020983997
0.1,unilora_matched,5.349309411558905,0.00010612583973047539,5.348832063431278,0.00047734812762957856
0.1,prolosa,0.053254847008310756,0.00022228960303610795,0.05230021854065618,0.000954628467654569
0.1,prolosa_random,5.387844008146536,0.056881575501464055,5.371681699629217,0.016162308517319052
0.1,prolosa_oracle,0.052977289563770354,8.782283559506558e-05,0.05251795250428451,0.00045933705948583573
0.2,lora,0.1600481392478719,0.003557040519004344,0.0008166498845869402,0.15923148936328496
0.2,unilora,5.403799322919333,0.00019770800357302927,5.40317660300771,0.0006227199116246751
0.2,unilora_matched,5.350686362793085,0.000363815243633479,5.348836497083436,0.001849865709648103
0.2,prolosa,0.05663045059107051,0.000990484699155731,0.05217084131250865,0.004459609278561864
0.2,prolosa_random,5.348457923736763,0.3518268284112042,5.290830338815498,0.05762758492126448
0.2,prolosa_oracle,0.054391635526242904,0.0003837616614121782,0.052527040727504117,0.0018645947987387882
0.3,lora,0.3603816375992853,0.007529779958584959,0.0017660642820716606,0.35861557331721367
0.3,unilora,5.404633324421931,0.0005385190721813205,5.40318360113619,0.0014497232857444667
0.3,unilora_matched,5.352999486391464,0.0008974308286764091,5.348848714966591,0.004150771424873142
0.3,prolosa,0.06242565074633854,0.0014911136969439523,0.052595606463353706,0.009830044282984835
0.3,prolosa_random,5.350294835323041,0.35234935241029847,5.289797748773081,0.060497086549960145
0.3,prolosa_oracle,0.05676567325748518,0.0008464674586268316,0.05253835603133752,0.004227317226147668
0.4,lora,0.6413460867350688,0.013762884239960539,0.003224180014046592,0.6381219067210222
0.4,unilora,5.405676961751635,0.0008827532364234713,5.403196532122161,0.0024804296294768896
0.4,unilora_matched,5.356237635404284,0.001646108846371621,5.348862037444647,0.007375597959635752
0.4,prolosa,0.07087563544732838,0.00295882313535602,0.05312128497614085,0.01775435047118752
0.4,prolosa_random,5.379434628156397,0.08519597867441892,5.340932907794385,0.03850172036201296
0.4,prolosa_oracle,0.06004085984579117,0.0015632567639141377,0.05256364715809077,0.007477212687700403
0.5,lora,1.000725668364893,0.02129659688570534,0.004997990425236784,0.9957276779396562
0.5,unilora,5.407255475607415,0.001321689350985046,5.4031983975059745,0.004057078101439424
0.5,unilora_matched,5.360625174498016,0.0023619182954409887,5.348871737635572,0.01175343686244339
0.5,prolosa,0.08175350601337054,0.004547256642677621,0.0533060603342939,0.02844744567907664
0.5,prolosa_random,5.368386124678339,0.2905212369459183,5.309748798351922,0.05863732632641559
0.5,prolosa_oracle,0.06406978320389566,0.0023381255867405523,0.05257744353279316,0.011492339671102508
0.6,lora,1.438830276462313,0.030259967666986146,0.007051158319208304,1.431779118143105
0.6,unilora,5.408886694238895,0.0020451072269818673,5.403189960870014,0.005696733368880169
0.6,unilora_matched,5.365964064489367,0.0035571320549237944,5.348903494224068,0.017060570265300376
0.6,prolosa,0.09792625127413754,0.007049017924963435,0.054238687902295704,0.04368756337184184
0.6,prolosa_random,5.37691102089069,0.21765910538055622,5.31727347189631,0.05963754899438087
0.6,prolosa_oracle,0.06984121470676749,0.0034252961347065645,0.05256979952902262,0.017271415177744883
0.7,lora,1.955889770216068,0.04299001669598682,0.009871022444025643,1.946018747772042
0.7,unilora,5.410637281135794,0.0024104274155859473,5.403202944908244,0.007434336227550555
0.7,unilora_matched,5.371711301488667,0.004353818102197915,5.348957537406615,0.022753764082054442
0.7,prolosa,0.11802120957240579,0.01143134684631971,0.055236532252704244,0.06278467731970157
0.7,prolosa_random,5.396719741894347,0.07205331221836025,5.344956833518296,0.05176290837604878
0.7,prolosa_oracle,0.0750198144619626,0.004349337535578545,0.05262288721201727,0.022396927249945325
0.8,lora,2.5554727831134207,0.05312320198472434,0.012489841475650987,2.5429829416377694
0.8,unilora,5.413296657367482,0.0035914900266366388,5.403209432279042,0.010087225088438538
0.8,unilora_matched,5.378761225217968,0.006095902629921908,5.349030060858108,0.029731164359858866
0.8,prolosa,0.1460028835055036,0.014272050283534222,0.057241763570988806,0.08876111993451481
0.8,prolosa_random,5.401998011944849,0.20779561908149552,5.342015833642548,0.05998217830230017
0.8,prolosa_oracle,0.08265898675905184,0.006094284657291882,0.05262999356438364,0.030028993194668195
0.9,lora,3.2418069112394288,0.07706030752106273,0.01630110813286574,3.225505803106563
0.9,unilora,5.4157575233418065,0.004461770147865679,5.4032494012435395,0.012508122098266612
0.9,unilora_matched,5.386431553243531,0.007864426335826858,5.349027951520753,0.03740360172277675
0.9,prolosa,0.17534746261648165,0.019878080717058124,0.058877785838194016,0.11646967677828765
0.9,prolosa_random,5.4191766701770065,0.059824831528128904,5.359773902053261,0.05940276812374742
0.9,prolosa_oracle,0.09016796898607642,0.007669024662189052,0.052684580736136424,0.03748338824993999
1.0,lora,3.9953250504940088,0.09460945764854256,0.021089801878149173,3.974235248615859
1.0,unilora,5.418790265284725,0.005509648670841532,5.4032896532410355,0.015500612043689566
1.0,unilora_matched,5.396110111928641,0.009589110394937012,5.349045300548424,0.04706481138021742
1.0,prolosa,0.21086530641843942,0.02185377735162906,0.06138473348653381,0.14948057293190564
1.0,prolosa_random,5.399112424811424,0.29257810704340415,5.3013015800801195,0.09781084473130351
1.0,prolosa_oracle,0.09954853517086057,0.009278586243574567,0.05279320886939161,0.04675532630146899
1.1,lora,4.827849513384279,0.10690819394314635,0.02382717247992217,4.804022340904357
1.1,unilora,5.421794121852254,0.00670800119554329,5.403263355491156,0.018530766361097743
1.1,unilora_matched,5.405397686635062,0.012212016840308378,5.349142521975335,0.05625516465972618
1.1,prolosa,0.25452726900846456,0.0288528465095445,0.06549383866878994,0.18903343033967462
1.1,prolosa_random,5.443132472222365,0.05257383118075844,5.372380925396813,0.07075154682555222
1.1,prolosa_oracle,0.1101393702547503,0.011919188486058116,0.05278305436055198,0.057356315894198324
1.2,lora,5.7645913846429195,0.11898195775390945,0.028905713023468678,5.735685671619451
1.2,unilora,5.425374412969497,0.007861038423177768,5.403322438463847,0.022051974505649743
1.2,unilora_matched,5.416137531956079,0.01372724298065176,5.3492449160938405,0.06689261586223781
1.2,prolosa,0.29425845663523864,0.03307931058283666,0.06789529406868572,0.22636316256655287
1.2,prolosa_random,5.41018497116303,0.35211092649864456,5.2843322425042345,0.1258527286587941
1.2,prolosa_oracle,0.12026392122298699,0.014148146999213976,0.05283998563945773,0.06742393558352924
1.3,lora,6.755590373131829,0.15506408590357423,0.033414338275868316,6.722176034855961
1.3,unilora,5.43026382686296,0.00974622335907915,5.403316116816246,0.026947710046715975
1.3,unilora_matched,5.427065962718818,0.0158989458432273,5.349112253649373,0.077953709069445
1.3,prolosa,0.34628602899893496,0.03622240921564262,0.07376152508747805,0.27252450391145694
1.3,prolosa_random,5.449955685409101,0.21140077391378734,5.336728781569372,0.11322690383972844
1.3,prolosa_oracle,0.13253569689808745,0.01604755879403613,0.05286053111309777,0.07967516578498966
1.4,lora,7.8306330586265425,0.17391912776027235,0.03915376789864779,7.791479290727893
1.4,unilora,5.432578049255315,0.01078864375552457,5.403281678914562,0.029296370340751644
1.4,unilora_matched,5.440243214857713,0.018535773988019113,5.349215723931616,0.09102749092609576
1.4,prolosa,0.39933133599349524,0.04275502703007396,0.07705316700747888,0.3222781689860163
